race_id,entry_id,Umaban,Bamei,IJyoCD,NyusenJyuni,KakuteiJyuni,target_win,target_ren,target_place,tan_pay,fuku_pay,is_win_paid,is_place_paid,notes
2017010506010102,201701050601010210,10,パトリヨティスム,1,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010706010208,201701070601020806,6,マイネルポルトゥス,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010706010210,201701070601021004,4,ポトマックリバー,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010708010204,201701070801020412,12,メイショウマサカゼ,3,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010708010205,201701070801020513,13,ナムラマル,1,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010808010302,201701080801030203,3,メイショウヒャッカ,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010808010302,201701080801030208,8,マリアベーラ,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010808010305,201701080801030508,8,パンツァネッラ,1,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017010808010310,201701080801031007,7,ヴォージュ,1,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017011407010104,201701140701010409,9,ウラワザ,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017011407010106,201701140701010616,16,タイセイアニマート,3,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017011408010408,201701140801040806,6,オールスマイル,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017011506010505,201701150601050506,6,ペイシャムーン,4,0,0,0,0,0,0,0,0,0,abnormal_result_or_refund_case
2017011507010201,201701150701020101,1,ウォースパイト,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020102,2,シゲルボスザル,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020103,3,セヴィルロアー,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020104,4,ブロンドブリランテ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020105,5,シンゼンキング,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020106,6,シロイバラ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020107,7,オメガガーディアン,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020108,8,アシャカリブラ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020109,9,ミラクルシップ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020110,10,キモンズラブ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020111,11,スズカフリオーソ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020112,12,オヤマリンドウ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020113,13,ジェニエニドッツ,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020114,14,クレイトンシチー,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020115,15,ジャストヒーロー,0,0,0,0,0,0,0,0,0,0,""
2017011507010201,201701150701020116,16,ゼットラック,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020201,1,タガノブルゴーニュ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020202,2,キチロクエンパイア,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020203,3,メイショウアッパレ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020204,4,ラッキーパンチ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020205,5,クリノアントニヌス,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020206,6,レッドコマチ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020207,7,ファイブフォース,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020208,8,バージンファントム,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020209,9,アイフィルプリティ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020210,10,モリヲカエセ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020211,11,チェス,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020212,12,ヘヴンウェイ,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020213,13,カワキタエビデンス,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020214,14,スターファルコン,0,0,0,0,0,0,0,0,0,0,""
2017011507010202,201701150701020215,15,フロイドフォンテン,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020301,1,セングウ,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020302,2,ヤマニンアタシャン,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020303,3,エアリーチューン,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020304,4,エクスシア,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020305,5,グルーヴァー,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020306,6,クラウンエンジェル,0,0,0,0,0,0,0,0,0,0,""
2017011507010203,201701150701020307,7,メイショウラバンド,0,0,0,0,0,0,0,0,0,0,""
