file_path,term,is_code_file,contains_insert_or_replace,contains_replace_into,contains_on_conflict,contains_executemany,notes
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\dataset_design.md,NL_O1,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\dataset_design.md,TanOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\dataset_design.md,FukuOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\db_schema_summary.md,NL_O1,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\db_schema_summary.md,TanOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\db_schema_summary.md,FukuOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\db_schema_summary.md,DataKubun,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\db_schema_summary.md,MakeDate,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\db_schema_summary.md,sqlite,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\full_dataset_design.md,NL_O1,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\full_dataset_quality_report.md,NL_O1,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\full_dataset_quality_report.md,TanOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\full_dataset_quality_report.md,FukuOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\main_table_detail.md,NL_O1,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\main_table_detail.md,TanOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
C:\Users\leole\siera_ws\src\keiba_prediction_ai\docs\main_table_detail.md,FukuOdds,False,False,False,False,False,match in repository text; inspect manually for ingestion semantics
